cell_line	RB1_5925_ENSG00000139687	CDKN2A_1029_ENSG00000147889	CCND1_595_ENSG00000110092	CDK4_1019_ENSG00000135446	CDK6_1021_ENSG00000105810
H1666_LUNG	0	1	0	0	0
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
PSN1_PANCREAS	0	1	0	0	0
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
JHH4_LIVER	0	0	0	0	1
SKNAS_AUTONOMIC_GANGLIA	0	0	0	0	0
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
SNU407_LARGE_INTESTINE	0	0	0	0	0
H2291_LUNG	0	0	0	0	0
CW2_LARGE_INTESTINE	0	0	0	0	0
TE441T_SOFT_TISSUE	0	0	0	0	0
OVKATE_OVARY	0	0	1	0	0
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	0	0	0	0	0
H1155_LUNG	1	0	0	0	0
8305C_THYROID	0	0	0	0	0
HCC38_BREAST	0	1	0	0	1
RCC10RGB_KIDNEY	0	1	0	0	0
PATU8902_PANCREAS	0	0	0	0	0
YAPC_PANCREAS	0	1	1	0	0
H2196_LUNG	0	0	0	0	0
HCT15_LARGE_INTESTINE	0	0	0	0	0
CORL105_LUNG	0	1	0	0	0
MPP89_PLEURA	1	0	0	0	0
MKN45_STOMACH	0	1	0	0	0
ABC1_LUNG	0	1	0	0	0
DETROIT562_UPPER_AERODIGESTIVE_TRACT	0	0	1	0	1
HS936T_SKIN	0	0	0	0	0
H1355_LUNG	0	0	0	1	0
OVK18_OVARY	0	0	1	0	0
AU565_BREAST	0	0	0	0	0
JHH2_LIVER	0	0	0	0	1
OCUM1_STOMACH	0	0	0	0	0
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
OVCAR8_OVARY	0	0	0	0	0
H446_LUNG	0	0	0	0	0
COLO205_LARGE_INTESTINE	0	0	0	0	0
HCC1569_BREAST	0	0	0	0	0
NMCG1_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
RKO_LARGE_INTESTINE	0	0	0	0	0
KELLY_AUTONOMIC_GANGLIA	0	0	0	0	0
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
HCC1806_BREAST	0	1	0	0	0
H226_LUNG	0	0	0	1	0
OV7_OVARY	1	0	0	0	0
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
H810_LUNG	0	0	0	0	0
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
DAOY_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
CADOES1_BONE	0	1	0	0	0
KYSE510_OESOPHAGUS	0	1	1	0	0
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
SNU283_LARGE_INTESTINE	0	0	0	0	0
8MGBA_CENTRAL_NERVOUS_SYSTEM	1	0	0	0	0
647V_URINARY_TRACT	1	0	0	0	0
C3A_LIVER	0	0	0	0	0
KYSE450_OESOPHAGUS	0	1	0	0	0
KNS62_LUNG	0	0	0	0	0
MHHES1_BONE	0	1	0	0	0
TT2609C02_THYROID	0	0	0	0	0
HEP3B217_LIVER	1	0	0	0	0
SNU1040_LARGE_INTESTINE	1	0	0	0	0
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
CL40_LARGE_INTESTINE	0	0	0	0	0
H82_LUNG	0	0	0	0	0
SW1271_LUNG	0	0	0	0	0
HCC1428_BREAST	0	0	0	0	0
HCC56_LARGE_INTESTINE	0	0	0	0	0
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
COLO668_LUNG	1	0	0	0	0
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
PC14_LUNG	0	0	0	0	0
CAL54_KIDNEY	0	1	0	0	0
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
BCPAP_THYROID	0	0	0	0	0
CAL78_BONE	1	1	0	0	0
HS742T_BREAST	0	1	0	0	0
T24_URINARY_TRACT	0	1	0	0	0
SKMEL31_SKIN	0	0	0	0	0
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
MELHO_SKIN	0	1	1	0	1
ECC10_STOMACH	1	0	0	0	0
JIMT1_BREAST	0	0	0	1	0
CAL62_THYROID	0	1	0	0	0
MKN7_STOMACH	0	0	0	0	0
KM12_LARGE_INTESTINE	0	0	0	0	0
RERFLCMS_LUNG	0	0	0	1	0
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
RL952_ENDOMETRIUM	0	0	0	0	0
EBC1_LUNG	0	1	0	0	1
H1755_LUNG	0	1	0	0	0
S117_SOFT_TISSUE	0	1	0	0	0
HUH7_LIVER	0	0	1	0	0
CFPAC1_PANCREAS	0	0	0	0	0
ECGI10_OESOPHAGUS	0	0	1	0	0
HLE_LIVER	0	0	0	0	0
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
HCC78_LUNG	0	1	0	0	0
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
ML1_THYROID	0	0	0	0	0
FADU_UPPER_AERODIGESTIVE_TRACT	0	0	1	0	0
LCLC103H_LUNG	0	1	0	0	0
SW1088_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
OVCAR4_OVARY	0	0	0	0	1
YKG1_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
KPNYN_AUTONOMIC_GANGLIA	0	0	0	0	0
TE4_OESOPHAGUS	0	0	0	0	0
G361_SKIN	0	1	0	0	1
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
CHP126_AUTONOMIC_GANGLIA	0	0	0	0	0
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
HT1197_URINARY_TRACT	0	0	0	0	0
HPAFII_PANCREAS	0	0	0	0	0
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
SH4_SKIN	0	1	0	0	0
TYKNU_OVARY	0	1	0	0	0
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
ONS76_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
HT1376_URINARY_TRACT	1	0	0	0	0
H1581_LUNG	0	0	0	0	0
G402_SOFT_TISSUE	0	0	0	0	0
SCC4_UPPER_AERODIGESTIVE_TRACT	0	0	1	0	1
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
RH41_SOFT_TISSUE	0	1	0	1	0
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
H2122_LUNG	0	1	0	0	1
22RV1_PROSTATE	0	0	0	0	1
CAKI1_KIDNEY	0	1	0	0	0
SNU175_LARGE_INTESTINE	0	0	0	0	0
H1703_LUNG	0	1	0	0	0
RERFLCSQ1_LUNG	0	1	0	0	0
H661_LUNG	0	0	0	0	0
PC3_PROSTATE	0	0	0	0	0
CORL311_LUNG	1	0	0	0	0
SW837_LARGE_INTESTINE	0	0	0	0	0
JHH1_LIVER	0	0	0	0	0
IGR37_SKIN	0	0	0	0	1
H1648_LUNG	0	1	0	0	0
UACC812_BREAST	0	0	0	0	0
BT483_BREAST	0	0	0	0	0
SW1783_CENTRAL_NERVOUS_SYSTEM	1	0	0	0	0
SBC5_LUNG	0	0	0	0	1
G401_SOFT_TISSUE	0	0	0	0	0
MEWO_SKIN	0	1	1	0	0
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0	0	0
SNU16_STOMACH	0	1	0	0	1
H1792_LUNG	0	1	0	1	0
786O_KIDNEY	0	1	0	0	1
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
GCT_SOFT_TISSUE	0	0	0	0	0
H1048_LUNG	1	0	0	0	0
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0
COLO684_ENDOMETRIUM	1	0	0	0	0
JHOS4_OVARY	0	1	0	0	0
H441_LUNG	0	1	1	0	0
DKMG_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
H1395_LUNG	0	0	1	0	0
H2347_LUNG	0	0	0	0	0
BHY_UPPER_AERODIGESTIVE_TRACT	0	0	1	0	0
CORL23_LUNG	0	0	0	0	0
SNU398_LIVER	0	0	0	0	0
HCC15_LUNG	1	1	0	0	1
LOUNH91_LUNG	0	1	0	0	0
HCC1500_BREAST	0	1	1	0	0
SW1417_LARGE_INTESTINE	0	0	0	0	0
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
SW948_LARGE_INTESTINE	0	0	0	0	0
SW900_LUNG	0	1	0	0	0
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
JHH6_LIVER	0	0	0	0	0
SKNDZ_AUTONOMIC_GANGLIA	0	1	0	0	0
CALU6_LUNG	0	0	0	0	0
SNUC1_LARGE_INTESTINE	0	0	0	0	0
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
SKLU1_LUNG	0	1	0	0	0
NUGC3_STOMACH	0	0	1	0	0
KYSE150_OESOPHAGUS	0	0	0	0	1
UACC257_SKIN	0	0	0	0	0
LN229_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
KU1919_URINARY_TRACT	0	1	1	0	0
MFE319_ENDOMETRIUM	0	1	0	0	0
LU65_LUNG	1	0	0	0	0
KP2_PANCREAS	0	1	0	0	0
H1693_LUNG	0	0	0	0	0
ECC12_STOMACH	0	0	0	1	0
769P_KIDNEY	0	0	0	0	0
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
CAL33_UPPER_AERODIGESTIVE_TRACT	0	1	0	0	0
MDAMB415_BREAST	0	0	1	0	0
WM115_SKIN	0	1	0	0	0
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
SKHEP1_LIVER	0	1	0	0	0
SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1
A101D_SKIN	0	1	0	0	0
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
HSC4_UPPER_AERODIGESTIVE_TRACT	0	1	1	0	0
HCC33_LUNG	1	0	0	0	0
QGP1_PANCREAS	0	0	0	1	0
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
SNU475_LIVER	0	0	1	0	0
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
AGS_STOMACH	0	0	0	0	0
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	1
OE21_OESOPHAGUS	0	1	1	0	0
U87MG_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
CORL88_LUNG	0	0	0	0	0
BHT101_THYROID	0	0	0	0	0
RVH421_SKIN	0	1	0	0	0
H2141_LUNG	0	0	0	0	0
HN_UPPER_AERODIGESTIVE_TRACT	0	1	0	0	0
CAPAN1_PANCREAS	0	1	0	0	1
SW620_LARGE_INTESTINE	0	0	0	0	0
SKMEL28_SKIN	0	0	0	1	0
H2170_LUNG	0	1	0	0	0
H2126_LUNG	0	1	0	0	1
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
FTC133_THYROID	0	0	0	0	1
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
EN_ENDOMETRIUM	0	1	0	0	0
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
CAL29_URINARY_TRACT	0	1	1	0	0
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
42MGBA_CENTRAL_NERVOUS_SYSTEM	1	1	0	0	0
RKN_SOFT_TISSUE	0	1	0	0	0
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
SW1573_LUNG	0	1	0	0	0
COLO680N_OESOPHAGUS	0	1	1	0	0
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
A498_KIDNEY	0	1	0	0	0
J82_URINARY_TRACT	0	0	0	0	0
T84_LARGE_INTESTINE	0	1	0	0	0
HUCCT1_BILIARY_TRACT	0	0	0	0	1
KYSE520_OESOPHAGUS	0	0	0	0	0
SNUC5_LARGE_INTESTINE	0	0	0	0	0
SHP77_LUNG	0	0	0	0	0
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0
H1573_LUNG	0	0	1	0	0
RCM1_LARGE_INTESTINE	0	0	0	0	0
BFTC909_KIDNEY	0	1	0	0	0
CAL27_UPPER_AERODIGESTIVE_TRACT	0	1	0	0	0
A172_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
SCC25_UPPER_AERODIGESTIVE_TRACT	0	1	1	0	0
SW1116_LARGE_INTESTINE	0	0	0	0	0
H1563_LUNG	0	1	0	0	0
CAPAN2_PANCREAS	0	0	1	0	0
CAOV4_OVARY	0	0	0	0	0
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
MDST8_LARGE_INTESTINE	0	1	0	0	0
RPMI7951_SKIN	0	0	0	0	0
H526_LUNG	0	0	0	0	0
KATOIII_STOMACH	0	0	0	0	0
UACC62_SKIN	0	1	0	0	0
HCC1937_BREAST	0	0	0	0	0
LN18_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
SF295_CENTRAL_NERVOUS_SYSTEM	0	1	1	0	0
CAL12T_LUNG	0	0	0	0	0
HUPT3_PANCREAS	0	1	0	0	0
SNU423_LIVER	0	0	0	0	0
LS411N_LARGE_INTESTINE	0	0	0	0	1
OSRC2_KIDNEY	0	1	0	0	0
LNCAPCLONEFGC_PROSTATE	0	0	0	0	0
SW48_LARGE_INTESTINE	0	0	0	0	0
GCIY_STOMACH	0	0	0	0	0
H1437_LUNG	0	1	1	0	0
HCT116_LARGE_INTESTINE	0	0	0	0	0
SW780_URINARY_TRACT	0	1	0	0	0
TE15_OESOPHAGUS	0	1	1	0	0
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0	0	0
SNU81_LARGE_INTESTINE	0	0	0	0	0
HCC1419_BREAST	1	0	0	0	0
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1
HCC1187_BREAST	0	0	0	0	0
639V_URINARY_TRACT	1	0	0	0	0
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1
KS1_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
IGROV1_OVARY	1	0	0	0	0
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	1
SNU387_LIVER	0	1	1	0	0
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
H838_LUNG	0	1	1	0	0
SKNSH_AUTONOMIC_GANGLIA	0	0	0	0	0
H1623_LUNG	1	1	0	0	0
H1092_LUNG	0	0	0	0	0
HS683_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
UACC893_BREAST	0	0	0	0	0
H209_LUNG	0	0	0	0	0
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
TCCSUP_URINARY_TRACT	0	0	0	0	0
H1838_LUNG	0	1	0	0	0
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
HARA_LUNG	0	0	1	0	0
H2009_LUNG	0	0	0	0	0
HT115_LARGE_INTESTINE	0	0	0	0	0
COLO679_SKIN	0	1	0	0	1
VMCUB1_URINARY_TRACT	0	1	1	0	0
DU145_PROSTATE	1	1	0	0	0
H650_LUNG	0	0	0	0	0
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
COLO792_SKIN	0	0	0	0	0
H520_LUNG	0	0	0	0	0
KMRC1_KIDNEY	0	1	0	0	0
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
KMRC20_KIDNEY	0	1	0	0	1
COLO320_LARGE_INTESTINE	0	1	0	0	0
KPNRTBM1_AUTONOMIC_GANGLIA	0	1	0	0	0
HCC1599_BREAST	0	0	0	0	0
T98G_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	1
LS513_LARGE_INTESTINE	0	0	0	0	0
KYM1_SOFT_TISSUE	0	0	0	0	0
DMS114_LUNG	0	0	1	0	0
MSTO211H_PLEURA	0	1	0	0	0
AN3CA_ENDOMETRIUM	0	0	0	0	1
SNU5_STOMACH	0	1	0	0	1
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
FU97_STOMACH	0	0	0	0	0
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	1	0
A673_BONE	0	1	0	0	0
YH13_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
DANG_PANCREAS	0	1	0	0	0
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
H146_LUNG	1	0	0	0	0
JHOS2_OVARY	0	1	0	0	0
SW1463_LARGE_INTESTINE	0	0	0	0	0
SNU449_LIVER	0	1	0	0	0
LS1034_LARGE_INTESTINE	0	0	0	0	0
A2780_OVARY	0	0	0	0	0
CL34_LARGE_INTESTINE	0	0	0	0	0
SNGM_ENDOMETRIUM	0	0	0	0	0
SKMEL5_SKIN	0	1	1	0	1
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
EFM192A_BREAST	0	1	1	0	0
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
DMS53_LUNG	0	0	0	0	0
PATU8988T_PANCREAS	0	0	0	0	0
CHL1_SKIN	0	1	0	0	0
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
KP4_PANCREAS	0	1	0	0	0
EFM19_BREAST	0	1	0	0	0
HCC44_LUNG	0	0	0	0	0
SKNFI_AUTONOMIC_GANGLIA	0	0	0	0	0
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0
EFO27_OVARY	0	1	0	0	0
CALU3_LUNG	0	1	0	0	0
EPLC272H_LUNG	0	0	1	0	1
IM95_STOMACH	1	0	0	0	0
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
HUPT4_PANCREAS	0	0	0	0	0
H596_LUNG	1	0	0	0	0
OAW28_OVARY	0	0	0	0	0
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	1
UMUC3_URINARY_TRACT	0	1	0	0	0
GI1_CENTRAL_NERVOUS_SYSTEM	1	0	0	0	0
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
RT4_URINARY_TRACT	0	1	0	0	0
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0
SKMEL1_SKIN	0	0	0	1	0
KYSE270_OESOPHAGUS	0	1	0	0	0
PANC1005_PANCREAS	0	0	0	0	0
CAL148_BREAST	0	0	0	0	0
IALM_LUNG	0	0	0	0	0
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
TGBC11TKB_STOMACH	0	0	0	0	0
IGR1_SKIN	0	1	0	0	0
GAMG_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
SCC9_UPPER_AERODIGESTIVE_TRACT	0	1	0	0	0
LXF289_LUNG	0	1	0	0	0
LOVO_LARGE_INTESTINE	0	0	0	0	0
SCC15_UPPER_AERODIGESTIVE_TRACT	0	0	1	0	0
CAS1_CENTRAL_NERVOUS_SYSTEM	0	1	0	0	0
RT112_URINARY_TRACT	0	1	0	0	0
H69_LUNG	1	0	0	0	0
COLO678_LARGE_INTESTINE	0	1	0	0	0
HUH1_LIVER	0	1	0	0	0
8505C_THYROID	0	0	0	0	0
ESS1_ENDOMETRIUM	1	0	0	0	0
MHHNB11_AUTONOMIC_GANGLIA	0	0	0	0	0
LS180_LARGE_INTESTINE	0	0	0	0	0
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	1	0	1
SKMES1_LUNG	0	1	0	0	0
H2085_LUNG	0	0	0	0	0
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0
EVSAT_BREAST	1	0	1	0	1
VMRCRCZ_KIDNEY	0	1	0	0	0
RERFGC1B_STOMACH	0	1	0	0	0
MOGGUVW_CENTRAL_NERVOUS_SYSTEM	0	0	0	0	0
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0
