#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
244033	613	5925	107083	111860	-	RP11-174I10.1	BCR	RB1	ALL|BCR1|CML|D22S11|D22S662|PHL	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Miyamura T (1997)	9071815	9606	9606	Low Throughput	-	-	-	c-ABL and BCR-ABL associated with both phosphorylated and nonphosphorylated forms of pRB	-	BIOGRID
244202	23054	5925	116691	111860	RP5-1181N3.2	RP11-174I10.1	NCOA6	RB1	AIB3|ASC2|NRC|PRIP|RAP250|TRBP	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Two-hybrid	physical	Goo YH (2004)	14645241	9606	9606	Low Throughput	-	-	-	Ectopic expression of Rb effected ASC-2 to act as a transcription coactivator of AR; ASC-2 residues 622-849	-	BIOGRID
244268	5925	573	111860	107049	RP11-174I10.1	RP11-326F20.2	RB1	BAG1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	BAG-1|HAP|RAP46	Affinity Capture-Western	physical	Arhel NJ (2003)	12845674	9606	9606	Low Throughput	-	-	-	Expression of human Papillomavirus E7 oncoprotein, an inhibitor of Rb protein interactions, which disrupted the Rb/Bag-1 complex	-	BIOGRID
244515	672	5925	107140	111860	-	RP11-174I10.1	BRCA1	RB1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Fan S (2001)	11521194	9606	9606	Low Throughput	-	-	-	Interaction does not require the BRCA1 LXCXE motif, nor does it require an intact A/B binding pocket of RB;RB gene may be a target for transcriptional repression by BRCA1	-	BIOGRID
244516	672	5925	107140	111860	-	RP11-174I10.1	BRCA1	RB1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Co-localization	physical	Fan S (2001)	11521194	9606	9606	Low Throughput	-	-	-	Interaction does not require the BRCA1 LXCXE motif, nor does it require an intact A/B binding pocket of RB;RB gene may be a target for transcriptional repression by BRCA1	-	BIOGRID
244517	672	5925	107140	111860	-	RP11-174I10.1	BRCA1	RB1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Fan S (2001)	11521194	9606	9606	Low Throughput	-	-	-	Interaction does not require the BRCA1 LXCXE motif, nor does it require an intact A/B binding pocket of RB;RB gene may be a target for transcriptional repression by BRCA1	-	BIOGRID
244763	5925	5932	111860	111867	RP11-174I10.1	-	RB1	RBBP8	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	COM1|CTIP|JWDS|RIM|SAE2|SCKL2	Affinity Capture-Western	physical	Dick FA (2000)	10779361	9606	9606	Low Throughput	-	-	-	pRB mutants lacking the LXCXE binding site are defective in binding to adenovirus E1A and human papillomavirus type 16 E7 protein but exhibit wild-type binding to E2F or DP, and they retain the ability to interact with CtIP and HDAC4	-	BIOGRID
244764	5925	3065	111860	109315	RP11-174I10.1	RP4-811H24.2	RB1	HDAC1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	GON-10|HD1|RPD3|RPD3L1	Affinity Capture-Western	physical	Dick FA (2000)	10779361	9606	9606	Low Throughput	-	-	-	pRB mutants lacking the LXCXE binding site are defective in binding to adenovirus E1A and human papillomavirus type 16 E7 protein but exhibit wild-type binding to E2F or DP, and they retain the ability to interact with CtIP and HDAC4	-	BIOGRID
245044	5925	367	111860	106862	RP11-174I10.1	RP11-383C12.1	RB1	AR	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	Reconstituted Complex	physical	Lu J (1998)	9813067	9606	9606	Low Throughput	-	-	-	The site of interaction with pRB lies within the N-terminal domain of the AR and co-localizes with the region of the AR that specifies a requirement for pRB;putative pRB-binding site, LxCxD (amino acids 559-563), that is related to the well characterized	-	BIOGRID
245340	5925	23054	111860	116691	RP11-174I10.1	RP5-1181N3.2	RB1	NCOA6	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	AIB3|ASC2|NRC|PRIP|RAP250|TRBP	Affinity Capture-Western	physical	Goo YH (2004)	14645241	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
245341	5925	23054	111860	116691	RP11-174I10.1	RP5-1181N3.2	RB1	NCOA6	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	AIB3|ASC2|NRC|PRIP|RAP250|TRBP	Reconstituted Complex	physical	Goo YH (2004)	14645241	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253796	9643	5925	115001	111860	RP5-1055C14.2	RP11-174I10.1	MORF4L2	RB1	MORFL2|MRGX	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Tominaga K (2003)	14506250	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255345	5055	5925	111092	111860	-	RP11-174I10.1	SERPINB2	RB1	HsT1201|PAI|PAI-2|PAI2|PLANH2	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Darnell GA (2003)	12944478	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255346	5055	5925	111092	111860	-	RP11-174I10.1	SERPINB2	RB1	HsT1201|PAI|PAI-2|PAI2|PLANH2	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Darnell GA (2003)	12944478	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255821	5925	1523	111860	107903	RP11-174I10.1	-	RB1	CUX1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GOLIM6|Nbla10317|p100|p110|p200|p75	Reconstituted Complex	physical	Gupta S (2003)	12891711	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255822	5925	1523	111860	107903	RP11-174I10.1	-	RB1	CUX1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GOLIM6|Nbla10317|p100|p110|p200|p75	Affinity Capture-Western	physical	Gupta S (2003)	12891711	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
258716	7161	5925	113014	111860	-	RP11-174I10.1	TP73	RB1	P73	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Ozaki T (2003)	12761493	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
258717	10399	5925	115671	111860	HLC7	RP11-174I10.1	GNB2L1	RB1	Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Ozaki T (2003)	12761493	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259146	5925	10951	111860	116151	RP11-174I10.1	-	RB1	CBX1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	CBX|HP1-BETA|HP1Hs-beta|HP1Hsbeta|M31|MOD1|p25beta	Reconstituted Complex	physical	Fuks F (2003)	12711675	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259311	5925	27043	111860	117973	RP11-174I10.1	-	RB1	PELP1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	MNAR|P160	Affinity Capture-Western	physical	Balasenthil S (2003)	12682072	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259312	5925	27043	111860	117973	RP11-174I10.1	-	RB1	PELP1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	MNAR|P160	Reconstituted Complex	physical	Balasenthil S (2003)	12682072	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260505	5925	8503	111860	114075	RP11-174I10.1	RP4-533D7.2	RB1	PIK3R3	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	p55|p55-GAMMA	Affinity Capture-Western	physical	Xia X (2003)	12588990	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260506	5925	8503	111860	114075	RP11-174I10.1	RP4-533D7.2	RB1	PIK3R3	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	p55|p55-GAMMA	Reconstituted Complex	physical	Xia X (2003)	12588990	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260734	5468	5925	111464	111860	-	RP11-174I10.1	PPARG	RB1	CIMT1|GLM1|NR1C3|PPARG1|PPARG2|PPARgamma	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Fajas L (2002)	12479814	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260736	5468	5925	111464	111860	-	RP11-174I10.1	PPARG	RB1	CIMT1|GLM1|NR1C3|PPARG1|PPARG2|PPARgamma	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Fajas L (2002)	12479814	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260738	5925	5468	111860	111464	RP11-174I10.1	-	RB1	PPARG	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	CIMT1|GLM1|NR1C3|PPARG1|PPARG2|PPARgamma	Reconstituted Complex	physical	Fajas L (2002)	12479814	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260739	8841	5925	114368	111860	-	RP11-174I10.1	HDAC3	RB1	HD3|RPD3|RPD3-2	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Fajas L (2002)	12479814	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260769	5925	5928	111860	111863	RP11-174I10.1	-	RB1	RBBP4	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	NURF55|RBAP48|lin-53	Affinity Capture-Western	physical	Nicolas E (2001)	11470869	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260770	5925	1869	111860	108201	RP11-174I10.1	-	RB1	E2F1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	E2F-1|RBAP1|RBBP3|RBP3	Affinity Capture-Western	physical	Nicolas E (2001)	11470869	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260817	10933	5925	116134	111860	FWP006	RP11-174I10.1	MORF4L1	RB1	Eaf3|HsT17725|MEAF3|MORFRG15|MRG15|S863-6	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Leung JK (2001)	11500496	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260819	93621	5925	125039	111860	-	RP11-174I10.1	MRFAP1	RB1	PAM14|PGR1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Leung JK (2001)	11500496	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260820	5925	10933	111860	116134	RP11-174I10.1	FWP006	RB1	MORF4L1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Eaf3|HsT17725|MEAF3|MORFRG15|MRG15|S863-6	Affinity Capture-Western	physical	Leung JK (2001)	11500496	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260821	5925	93621	111860	125039	RP11-174I10.1	-	RB1	MRFAP1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	PAM14|PGR1	Affinity Capture-Western	physical	Leung JK (2001)	11500496	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260823	10933	5925	116134	111860	FWP006	RP11-174I10.1	MORF4L1	RB1	Eaf3|HsT17725|MEAF3|MORFRG15|MRG15|S863-6	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Co-purification	physical	Pardo PS (2002)	12397079	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260824	93621	5925	125039	111860	-	RP11-174I10.1	MRFAP1	RB1	PAM14|PGR1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Co-purification	physical	Pardo PS (2002)	12397079	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260826	10933	5925	116134	111860	FWP006	RP11-174I10.1	MORF4L1	RB1	Eaf3|HsT17725|MEAF3|MORFRG15|MRG15|S863-6	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Pardo PS (2002)	12397079	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260836	5925	1869	111860	108201	RP11-174I10.1	-	RB1	E2F1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	E2F-1|RBAP1|RBBP3|RBP3	Affinity Capture-Western	physical	Pardo PS (2002)	12397079	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260837	5925	10933	111860	116134	RP11-174I10.1	FWP006	RB1	MORF4L1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Eaf3|HsT17725|MEAF3|MORFRG15|MRG15|S863-6	Affinity Capture-Western	physical	Pardo PS (2002)	12397079	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261657	5925	672	111860	107140	RP11-174I10.1	-	RB1	BRCA1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	Reconstituted Complex	physical	Yarden RI (1999)	10220405	9606	9606	Low Throughput	-	-	-	Both proteins purified.	-	BIOGRID
261658	5925	5931	111860	111866	RP11-174I10.1	RP11-716A19.5	RB1	RBBP7	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	RbAp46	Reconstituted Complex	physical	Yarden RI (1999)	10220405	9606	9606	Low Throughput	-	-	-	Both proteins purified.	-	BIOGRID
261665	5925	3065	111860	109315	RP11-174I10.1	RP4-811H24.2	RB1	HDAC1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	GON-10|HD1|RPD3|RPD3L1	Reconstituted Complex	physical	Fuks F (2000)	10615135	9606	9606	Low Throughput	-	-	-	Both proteins purified.	-	BIOGRID
261685	3065	5925	109315	111860	RP4-811H24.2	RP11-174I10.1	HDAC1	RB1	GON-10|HD1|RPD3|RPD3L1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Puri PL (2001)	11684023	9606	9606	Low Throughput	-	-	-	Both proteins purified.	-	BIOGRID
261687	5925	3065	111860	109315	RP11-174I10.1	RP4-811H24.2	RB1	HDAC1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	GON-10|HD1|RPD3|RPD3L1	Reconstituted Complex	physical	Puri PL (2001)	11684023	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261717	1017	5925	107452	111860	-	RP11-174I10.1	CDK2	RB1	CDKN2|p33(CDK2)	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Biochemical Activity	physical	Shintani S (2000)	10938106	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
261814	3065	5925	109315	111860	RP4-811H24.2	RP11-174I10.1	HDAC1	RB1	GON-10|HD1|RPD3|RPD3L1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Wang S (2002)	12466959	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261826	5925	3065	111860	109315	RP11-174I10.1	RP4-811H24.2	RB1	HDAC1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	GON-10|HD1|RPD3|RPD3L1	Affinity Capture-Western	physical	Luo RX (1998)	9491888	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261828	3065	5925	109315	111860	RP4-811H24.2	RP11-174I10.1	HDAC1	RB1	GON-10|HD1|RPD3|RPD3L1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Luo RX (1998)	9491888	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261836	1786	5925	108123	111860	-	RP11-174I10.1	DNMT1	RB1	ADCADN|AIM|CXXC9|DNMT|HSN1E|MCMT	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Co-fractionation	physical	Robertson KD (2000)	10888886	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261839	5925	1786	111860	108123	RP11-174I10.1	-	RB1	DNMT1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	ADCADN|AIM|CXXC9|DNMT|HSN1E|MCMT	Reconstituted Complex	physical	Robertson KD (2000)	10888886	9606	9606	Low Throughput	-	-	-	Both proteins purified.	-	BIOGRID
261840	5925	1786	111860	108123	RP11-174I10.1	-	RB1	DNMT1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	ADCADN|AIM|CXXC9|DNMT|HSN1E|MCMT	Affinity Capture-Western	physical	Robertson KD (2000)	10888886	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261842	3065	5925	109315	111860	RP4-811H24.2	RP11-174I10.1	HDAC1	RB1	GON-10|HD1|RPD3|RPD3L1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Lai A (1999)	10490602	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261844	3066	5925	109316	111860	-	RP11-174I10.1	HDAC2	RB1	HD2|RPD3|YAF1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Lai A (1999)	10490602	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261846	8841	5925	114368	111860	-	RP11-174I10.1	HDAC3	RB1	HD3|RPD3|RPD3-2	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Lai A (1999)	10490602	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261848	5926	5925	111861	111860	-	RP11-174I10.1	ARID4A	RB1	RBBP-1|RBBP1|RBP-1|RBP1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Lai A (1999)	10490602	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261850	5925	3065	111860	109315	RP11-174I10.1	RP4-811H24.2	RB1	HDAC1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	GON-10|HD1|RPD3|RPD3L1	Affinity Capture-Western	physical	Lai A (1999)	10490602	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261851	5925	3066	111860	109316	RP11-174I10.1	-	RB1	HDAC2	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	HD2|RPD3|YAF1	Affinity Capture-Western	physical	Lai A (1999)	10490602	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261852	5925	8841	111860	114368	RP11-174I10.1	-	RB1	HDAC3	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	HD3|RPD3|RPD3-2	Affinity Capture-Western	physical	Lai A (1999)	10490602	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261853	5925	5926	111860	111861	RP11-174I10.1	-	RB1	ARID4A	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	RBBP-1|RBBP1|RBP-1|RBP1	Affinity Capture-Western	physical	Lai A (1999)	10490602	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261890	4784	5925	110856	111860	-	RP11-174I10.1	NFIX	RB1	MRSHSS|NF1A|SOTOS2	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Singh J (2002)	11896613	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261893	6667	5925	112550	111860	-	RP11-174I10.1	SP1	RB1	-	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Singh J (2002)	11896613	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
261922	5925	3065	111860	109315	RP11-174I10.1	RP4-811H24.2	RB1	HDAC1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	GON-10|HD1|RPD3|RPD3L1	Reconstituted Complex	physical	Ferreira R (1998)	9724731	9606	9606	Low Throughput	-	-	-	Both proteins purified.	-	BIOGRID
261965	20586	5925	203336	111860	-	RP11-174I10.1	Smarca4	RB1	Brg1|HP1-BP72|SNF2beta|SW1/SNF|b2b508.1Clo|b2b692Clo	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Dunaief JL (1994)	7923370	10090	9606	Low Throughput	-	-	-	-	-	BIOGRID
261966	5925	20586	111860	203336	RP11-174I10.1	-	RB1	Smarca4	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Brg1|HP1-BP72|SNF2beta|SW1/SNF|b2b508.1Clo|b2b692Clo	Reconstituted Complex	physical	Dunaief JL (1994)	7923370	9606	10090	Low Throughput	-	-	-	-	-	BIOGRID
261967	5925	6597	111860	112481	RP11-174I10.1	-	RB1	SMARCA4	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b	Affinity Capture-Western	physical	Dunaief JL (1994)	7923370	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
262188	5925	5931	111860	111866	RP11-174I10.1	RP11-716A19.5	RB1	RBBP7	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	RbAp46	Affinity Capture-Western	physical	Qian YW (1995)	7503932	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
262189	5925	5928	111860	111863	RP11-174I10.1	-	RB1	RBBP4	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	NURF55|RBAP48|lin-53	Affinity Capture-Western	physical	Qian YW (1995)	7503932	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
262190	5925	5931	111860	111866	RP11-174I10.1	RP11-716A19.5	RB1	RBBP7	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	RbAp46	Reconstituted Complex	physical	Qian YW (1995)	7503932	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
262246	5925	5928	111860	111863	RP11-174I10.1	-	RB1	RBBP4	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	NURF55|RBAP48|lin-53	Affinity Capture-Western	physical	Nicolas E (2000)	10734134	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
262247	5925	5928	111860	111863	RP11-174I10.1	-	RB1	RBBP4	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	NURF55|RBAP48|lin-53	Reconstituted Complex	physical	Nicolas E (2000)	10734134	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
262272	4654	5925	110737	111860	-	RP11-174I10.1	MYOD1	RB1	MYF3|MYOD|PUM|bHLHc1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Mal A (2001)	11285237	9606	9606	Low Throughput	-	-	-	Both proteins purified.	-	BIOGRID
262377	1788	5925	108125	111860	-	RP11-174I10.1	DNMT3A	RB1	DNMT3A2|M.HsaIIIA|TBRS	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Fuks F (2001)	11350943	9606	9606	Low Throughput	-	-	-	Both proteins purified.	-	BIOGRID
262745	23741	5925	117243	111860	PNAS-22	RP11-174I10.1	EID1	RB1	C15orf3|CRI1|EID-1|IRO45620|PTD014|RBP21	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Miyake S (2000)	11073989	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
262746	23741	5925	117243	111860	PNAS-22	RP11-174I10.1	EID1	RB1	C15orf3|CRI1|EID-1|IRO45620|PTD014|RBP21	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Miyake S (2000)	11073989	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
