plate	position	well	score	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	raw_r3_ch1	median_ch1	average_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	raw/PlateMedian_r3_ch1	normalized_r1_ch1	normalized_r2_ch1	normalized_r3_ch1	GeneID	Entrez_gene_ID
1	117	E21	1.21	sample	sample	2766710	2812890	2644400	2766710	2741333.33333333	1.24	1.29	1.3	0.311	0.362	0.376	CKB	1152
1	194	I02	1.2	allstar	allstar	2842100	2845530	2640360	2842100	2775996.66666667	1.27	1.3	1.3	0.35	0.379	0.373	NA	NA
2	136	F16	1.2	sample	sample	3445470	3074380	2724180	3074380	3081343.33333333	1.33	1.27	1.21	0.412	0.349	0.277	EIF2AK4	440275
1	238	J22	1.19	sample	sample	2663600	2963320	2633990	2663600	2753636.66666667	1.19	1.35	1.29	0.257	0.437	0.37	MAPK8	5599
1	170	H02	1.18	sicon2	sicon2	2845570	2819960	2411670	2819960	2692400	1.28	1.29	1.18	0.352	0.366	0.243	NA	NA
2	19	A19	1.17	sample	sample	3103310	3058210	2971640	3058210	3044386.66666667	1.2	1.27	1.32	0.261	0.342	0.403	MVK	4598
2	140	F20	1.17	sample	sample	3298760	3188040	2700060	3188040	3062286.66666667	1.27	1.32	1.2	0.35	0.402	0.265	DYRK1A	1859
1	18	A18	1.16	sample	sample	2835970	2603760	2680650	2680650	2706793.33333333	1.27	1.19	1.32	0.347	0.251	0.395	PRKAA1	5562
3	228	J12	1.15	sample	sample	3671040	3342990	3166550	3342990	3393526.66666667	1.27	1.24	1.34	0.344	0.312	0.417	NA	NA
3	200	I08	1.14	sample	sample	3511150	3394200	3104120	3394200	3336490	1.21	1.26	1.31	0.28	0.334	0.389	NA	NA
1	103	E07	1.14	sample	sample	2821340	2755400	2660400	2755400	2745713.33333333	1.27	1.26	1.31	0.34	0.332	0.384	ADK	132
1	60	C12	1.13	sample	sample	2767280	2951870	2599160	2767280	2772770	1.24	1.35	1.28	0.312	0.432	0.351	PSKH1	5681
1	272	L08	1.12	sample	sample	2773920	2775670	2594870	2773920	2714820	1.24	1.27	1.27	0.315	0.343	0.348	LOC91461	91461
1	45	B21	1.12	sample	sample	2723130	2742990	2773720	2742990	2746613.33333333	1.22	1.25	1.36	0.288	0.326	0.445	BLK	640
2	51	C03	1.11	sample	sample	3283640	3021150	2772130	3021150	3025640	1.27	1.25	1.23	0.343	0.324	0.303	CDK5	1020
1	98	E02	1.1	sicon2	sicon2	3250040	2735340	2441460	2735340	2808946.66666667	1.46	1.25	1.2	0.544	0.322	0.26	NA	NA
1	243	K03	1.1	sample	sample	2598750	2734050	2773550	2734050	2702116.66666667	1.17	1.25	1.36	0.221	0.321	0.444	TEK	7010
1	44	B20	1.1	sample	sample	2522820	2756960	2583630	2583630	2621136.66666667	1.13	1.26	1.27	0.178	0.333	0.342	JAK2	3717
3	197	I05	1.09	sample	sample	3604760	3478380	3001700	3478380	3361613.33333333	1.25	1.29	1.27	0.318	0.369	0.34	DUSP21	63904
1	176	H08	1.08	sample	sample	2727470	2821490	2573390	2727470	2707450	1.22	1.29	1.26	0.291	0.366	0.336	PRKAR2A	5576
3	16	A16	1.07	sample	sample	3606770	3347010	2942290	3347010	3298690	1.25	1.24	1.24	0.319	0.313	0.311	NA	NA
2	284	L20	1.07	sample	sample	3227290	3075000	2793780	3075000	3032023.33333333	1.25	1.27	1.24	0.318	0.35	0.314	SGK	6446
1	113	E17	1.07	sample	sample	2685990	2714570	2650150	2685990	2683570	1.2	1.24	1.3	0.269	0.311	0.379	MAP3K14	9020
2	10	A10	1.06	sample	sample	3233930	2793390	2827180	2827180	2951500	1.25	1.16	1.26	0.321	0.211	0.331	TJP2	9414
3	226	J10	1.06	sample	sample	3622730	3198770	2982190	3198770	3267896.66666667	1.25	1.19	1.26	0.325	0.248	0.331	NA	NA
2	205	I13	1.06	sample	sample	2798470	3130580	2826460	2826460	2918503.33333333	1.08	1.3	1.26	0.112	0.376	0.331	PRPS1	5631
2	184	H16	1.06	sample	sample	3224100	3069620	2610220	3069620	2967980	1.25	1.27	1.16	0.317	0.347	0.216	PNCK	139728
3	184	H16	1.06	sample	sample	3600400	3230280	3012680	3230280	3281120	1.25	1.2	1.27	0.316	0.262	0.346	NA	NA
2	40	B16	1.05	sample	sample	3216400	2841540	2871210	2871210	2976383.33333333	1.24	1.18	1.28	0.313	0.236	0.353	PIP5K3	200576
2	251	K11	1.04	sample	sample	3244340	2979510	2683810	2979510	2969220	1.25	1.23	1.19	0.326	0.304	0.256	ROR1	4919
1	245	K05	1.04	sample	sample	2822430	2676730	2552380	2676730	2683846.66666667	1.27	1.22	1.25	0.34	0.29	0.325	PANK1	53354
1	277	L13	1.04	sample	sample	2666440	2699030	2606470	2666440	2657313.33333333	1.2	1.23	1.28	0.258	0.302	0.355	MKNK1	8569
2	161	G17	1.04	sample	sample	3009720	2974920	2815150	2974920	2933263.33333333	1.16	1.23	1.25	0.217	0.302	0.325	IKBKAP	8518
3	188	H20	1.04	sample	sample	3560200	3428390	2964680	3428390	3317756.66666667	1.23	1.27	1.25	0.3	0.348	0.322	NA	NA
1	119	E23	1.03	sicon2	sicon2	2761690	2464820	2595730	2595730	2607413.33333333	1.24	1.13	1.27	0.309	0.171	0.349	NA	NA
3	42	B18	1.03	sample	sample	3610640	3198920	2964020	3198920	3257860	1.25	1.19	1.25	0.321	0.248	0.322	NA	NA
3	148	G04	1.03	sample	sample	3578000	3589520	2240520	3578000	3136013.33333333	1.24	1.33	0.945	0.307	0.414	-0.082	NA	NA
2	127	F07	1.03	sample	sample	3202030	3022880	2767430	3022880	2997446.66666667	1.24	1.25	1.23	0.307	0.325	0.3	NTRK2	4915
1	268	L04	1.02	sample	sample	2720630	2691330	2592390	2691330	2668116.66666667	1.22	1.23	1.27	0.287	0.298	0.347	TGFBR1	7046
1	46	B22	1.02	sample	sample	2499550	2689770	2652330	2652330	2613883.33333333	1.12	1.23	1.3	0.165	0.297	0.38	BRD2	6046
3	90	D18	1.02	sample	sample	3495560	3320420	2952450	3320420	3256143.33333333	1.21	1.23	1.25	0.274	0.302	0.316	NA	NA
2	218	J02	1.01	allstar	allstar	3248910	2961780	2771210	2961780	2993966.66666667	1.25	1.23	1.23	0.328	0.296	0.302	NA	NA
1	287	L23	1.01	allstar	allstar	2495610	2685190	2581350	2581350	2587383.33333333	1.12	1.23	1.27	0.163	0.295	0.341	NA	NA
1	321	N09	1.01	sample	sample	2582580	2684060	2535680	2582580	2600773.33333333	1.16	1.23	1.24	0.212	0.294	0.315	TAF1L	138474
1	148	G04	1.01	sample	sample	2746830	2901220	2375870	2746830	2674640	1.23	1.33	1.17	0.301	0.407	0.221	KIAA1811	84446
1	13	A13	1.01	sample	sample	2588550	2683500	2657850	2657850	2643300	1.16	1.23	1.3	0.215	0.294	0.383	MYO3B	140469
2	83	D11	1.01	sample	sample	3294030	2958520	2726830	2958520	2993126.66666667	1.27	1.23	1.21	0.348	0.294	0.279	EFNA5	1946
2	368	P08	1.01	sample	sample	3188800	3129980	2775590	3129980	3031456.66666667	1.23	1.3	1.23	0.301	0.375	0.304	MAPKAPK5	8550
1	69	C21	1.01	sample	sample	2612710	2682910	2583950	2612710	2626523.33333333	1.17	1.23	1.27	0.229	0.294	0.342	THNSL1	79896
2	88	D16	1.01	sample	sample	3211390	2957390	2703700	2957390	2957493.33333333	1.24	1.23	1.2	0.311	0.293	0.266	BMX	660
2	152	G08	1	sample	sample	3431350	2955560	2717320	2955560	3034743.33333333	1.33	1.22	1.21	0.406	0.293	0.274	RBKS	64080
3	198	I06	1	sample	sample	3389810	3324490	2943880	3324490	3219393.33333333	1.17	1.23	1.24	0.229	0.304	0.312	NA	NA
1	267	L03	1	sample	sample	2743360	2515600	2546350	2546350	2601770	1.23	1.15	1.25	0.299	0.201	0.321	RPS6KA3	6197
3	152	G08	1	sample	sample	3410020	3328010	2942150	3328010	3226726.66666667	1.18	1.24	1.24	0.238	0.305	0.311	NA	NA
1	208	I16	1	sample	sample	2741160	2509140	2566270	2566270	2605523.33333333	1.23	1.15	1.26	0.298	0.197	0.332	NPR2	4882
1	263	K23	1	allstar	allstar	2715510	2740110	2526470	2715510	2660696.66666667	1.22	1.25	1.24	0.284	0.324	0.31	NA	NA
3	111	E15	0.99	sample	sample	3422190	3291160	3011630	3291160	3241660	1.18	1.22	1.27	0.243	0.289	0.345	KIAA1765	85443
1	276	L12	0.99	sample	sample	2670320	2672110	2521690	2670320	2621373.33333333	1.2	1.22	1.24	0.26	0.288	0.307	DUSTYPK	25778
1	197	I05	0.99	sample	sample	2764820	2671120	2401080	2671120	2612340	1.24	1.22	1.18	0.31	0.287	0.236	GRK5	2869
2	52	C04	0.99	sample	sample	3021480	2956210	2780320	2956210	2919336.66666667	1.17	1.23	1.24	0.223	0.293	0.307	CDK7	1022
2	196	I04	0.98	sample	sample	2969660	3083560	2779620	2969660	2944280	1.15	1.28	1.24	0.198	0.354	0.306	SRPK2	6733
3	245	K05	0.98	sample	sample	3533670	3285640	3115560	3285640	3311623.33333333	1.22	1.22	1.31	0.289	0.287	0.394	HUS1	3364
2	8	A08	0.98	sample	sample	3045370	2943470	2779160	2943470	2922666.66666667	1.18	1.22	1.24	0.234	0.287	0.306	TLK2	11011
2	12	A12	0.98	sample	sample	3167350	2817600	2866170	2866170	2950373.33333333	1.22	1.17	1.28	0.291	0.224	0.351	ADCK5	203054
1	220	J04	0.98	sample	sample	2772110	2665450	2470810	2665450	2636123.33333333	1.24	1.22	1.21	0.314	0.284	0.278	MAST4	375449
1	229	J13	0.97	sample	sample	2755050	2662410	2429600	2662410	2615686.66666667	1.24	1.22	1.19	0.305	0.283	0.253	MPP1	4354
3	301	M13	0.96	sample	sample	3528070	3120410	2920120	3120410	3189533.33333333	1.22	1.16	1.23	0.287	0.212	0.301	MYLK	4638
3	223	J07	0.96	sample	sample	3509790	3269920	3289010	3289010	3356240	1.21	1.21	1.39	0.28	0.28	0.472	NA	NA
1	266	L02	0.96	allstar	allstar	2602090	2656620	2719070	2656620	2659260	1.17	1.21	1.33	0.223	0.28	0.416	NA	NA
1	224	J08	0.96	sample	sample	2703820	2656310	2511500	2656310	2623876.66666667	1.21	1.21	1.23	0.278	0.279	0.301	PIK3R3	8503
1	122	F02	0.96	sicon2	sicon2	2555370	2693860	2505080	2555370	2584770	1.15	1.23	1.23	0.197	0.3	0.298	NA	NA
1	157	G13	0.96	sample	sample	2732380	2654730	2362050	2654730	2583053.33333333	1.23	1.21	1.16	0.293	0.279	0.213	CRIM1	51232
2	185	H17	0.95	sample	sample	3345970	2915380	2760640	2915380	3007330	1.29	1.21	1.23	0.37	0.273	0.297	SCYL1	57410
2	224	J08	0.95	sample	sample	3149960	2947300	2750020	2947300	2949093.33333333	1.22	1.22	1.22	0.283	0.289	0.291	STK32A	202374
3	61	C13	0.95	sample	sample	3515960	3174540	2943260	3174540	3211253.33333333	1.22	1.18	1.24	0.282	0.237	0.312	CDK2	1017
2	67	C19	0.94	sample	sample	3062260	3122040	2753260	3062260	2979186.66666667	1.18	1.29	1.22	0.242	0.372	0.293	DDR2	4921
3	128	F08	0.94	sample	sample	3508850	3069120	2904100	3069120	3160690	1.21	1.14	1.22	0.279	0.188	0.293	NA	NA
3	181	H13	0.93	sample	sample	3558960	3253200	2816590	3253200	3209583.33333333	1.23	1.21	1.19	0.3	0.272	0.248	NA	NA
3	62	C14	0.92	sample	sample	3500260	4103430	2712820	3500260	3438836.66666667	1.21	1.52	1.14	0.276	0.607	0.194	NA	NA
2	82	D10	0.92	sample	sample	3149010	2905440	2692480	2905440	2915643.33333333	1.22	1.2	1.2	0.283	0.268	0.26	WNK4	65266
3	173	H05	0.91	sample	sample	3469870	3457140	2888090	3457140	3271700	1.2	1.28	1.22	0.263	0.36	0.285	NA	NA
2	134	F14	0.91	sample	sample	3125940	2861310	2734600	2861310	2907283.33333333	1.21	1.19	1.22	0.272	0.246	0.283	BRDT	676
3	210	I18	0.9	sample	sample	3534100	3234100	2730060	3234100	3166086.66666667	1.22	1.2	1.15	0.29	0.264	0.203	NA	NA
2	242	K02	0.9	allstar	allstar	3103310	2897250	2769170	2897250	2923243.33333333	1.2	1.2	1.23	0.261	0.264	0.301	NA	NA
2	126	F06	0.9	sample	sample	3023520	3188660	2730700	3023520	2980960	1.17	1.32	1.21	0.224	0.402	0.281	NME2	4831
1	278	L14	0.89	sample	sample	2763830	2574780	2471360	2574780	2603323.33333333	1.24	1.18	1.21	0.31	0.234	0.278	FLJ23356	84197
3	276	L12	0.89	sample	sample	3420720	3295640	2872550	3295640	3196303.33333333	1.18	1.22	1.21	0.243	0.291	0.277	NA	NA
2	162	G18	0.88	sample	sample	3075820	3052030	2717480	3052030	2948443.33333333	1.19	1.26	1.21	0.249	0.339	0.274	PIP5K1B	8395
1	111	E15	0.88	sample	sample	2673670	2761590	2386000	2673670	2607086.66666667	1.2	1.26	1.17	0.262	0.336	0.227	CDKL3	51265
3	208	I16	0.88	sample	sample	3662330	3216220	2857630	3216220	3245393.33333333	1.27	1.19	1.21	0.341	0.256	0.269	NA	NA
2	98	E02	0.87	sicon2	sicon2	2858100	2878990	2786830	2858100	2841306.66666667	1.1	1.19	1.24	0.143	0.255	0.31	NA	NA
1	257	K17	0.87	sample	sample	2671080	2564870	2477820	2564870	2571256.66666667	1.2	1.17	1.22	0.261	0.229	0.282	CAMK2D	817
2	229	J13	0.87	sample	sample	3098280	2947070	2600800	2947070	2882050	1.2	1.22	1.16	0.259	0.288	0.21	SPHK2	56848
1	328	N16	0.86	sample	sample	2650360	2605540	2675930	2650360	2643943.33333333	1.19	1.19	1.31	0.249	0.252	0.393	PRKAR1A	5573
2	252	K12	0.86	sample	sample	3091720	2854110	2805160	2854110	2916996.66666667	1.19	1.18	1.25	0.256	0.242	0.32	IHPK1	9807
2	215	I23	0.86	allstar	allstar	3090670	2887300	2613770	2887300	2863913.33333333	1.19	1.2	1.16	0.256	0.259	0.218	NA	NA
1	14	A14	0.85	sample	sample	2571350	2602870	2451050	2571350	2541756.66666667	1.15	1.19	1.2	0.206	0.25	0.266	ANKK1	255239
1	90	D18	0.85	sample	sample	2625450	2660650	2449140	2625450	2578413.33333333	1.18	1.22	1.2	0.236	0.282	0.265	ACVR1C	130399
3	186	H18	0.85	sample	sample	3325550	3232530	2846710	3232530	3134930	1.15	1.2	1.2	0.202	0.263	0.264	NA	NA
1	105	E09	0.85	sample	sample	2661000	2597420	2375090	2597420	2544503.33333333	1.19	1.19	1.17	0.255	0.247	0.221	ABL2	27
2	33	B09	0.84	sample	sample	3097560	2862340	2647380	2862340	2869093.33333333	1.2	1.19	1.18	0.259	0.246	0.236	NME7	29922
2	373	P13	0.84	sample	sample	2925430	2980230	2693710	2925430	2866456.66666667	1.13	1.24	1.2	0.176	0.305	0.261	CSNK2A1	1457
2	230	J14	0.84	sample	sample	3056770	3161950	2692950	3056770	2970556.66666667	1.18	1.31	1.2	0.24	0.39	0.261	ZAK	51776
1	4	A04	0.84	sample	sample	2650930	2696770	2411080	2650930	2586260	1.19	1.23	1.18	0.25	0.301	0.242	PIK3CA	5290
2	167	G23	0.83	sicon2	sicon2	3076460	2902060	2664080	2902060	2880866.66666667	1.19	1.2	1.19	0.249	0.266	0.245	NA	NA
3	174	H06	0.83	sample	sample	3434230	3364370	2806990	3364370	3201863.33333333	1.19	1.25	1.18	0.248	0.321	0.244	NA	NA
1	239	J23	0.83	allstar	allstar	2646930	2729320	2407720	2646930	2594656.66666667	1.19	1.25	1.18	0.247	0.319	0.24	NA	NA
2	35	B11	0.82	sample	sample	3142510	2848910	2638650	2848910	2876690	1.21	1.18	1.17	0.28	0.24	0.231	MAP3K10	4294
1	35	B11	0.82	sample	sample	2553920	2583210	2481280	2553920	2539470	1.15	1.18	1.22	0.196	0.239	0.284	MAST3	23031
2	122	F02	0.81	sicon2	sicon2	2872320	2841870	2697840	2841870	2804010	1.11	1.18	1.2	0.15	0.236	0.263	NA	NA
3	324	N12	0.81	sample	sample	3349070	3171340	2922070	3171340	3147493.33333333	1.16	1.18	1.23	0.212	0.236	0.302	NA	NA
1	325	N13	0.81	sample	sample	2465700	2584040	2425970	2465700	2491903.33333333	1.11	1.18	1.19	0.145	0.24	0.251	HSMDPKIN	55561
2	166	G22	0.81	sample	sample	3090500	2837630	2674280	2837630	2867470	1.19	1.18	1.19	0.256	0.234	0.251	PANK3	79646
3	64	C16	0.8	sample	sample	3412670	3163850	2909120	3163850	3161880	1.18	1.17	1.23	0.239	0.232	0.295	NA	NA
2	170	H02	0.8	sicon2	sicon2	3054130	2740730	2686220	2740730	2827026.66666667	1.18	1.14	1.2	0.238	0.184	0.257	NA	NA
2	243	K03	0.79	sample	sample	3051250	2918220	2555500	2918220	2841656.66666667	1.18	1.21	1.14	0.237	0.274	0.185	SPHK1	8877
2	7	A07	0.79	sample	sample	3050710	2659760	2877960	2877960	2862810	1.18	1.1	1.28	0.237	0.14	0.357	LIMK2	3985
2	101	E05	0.79	sample	sample	3049840	2833440	2547780	2833440	2810353.33333333	1.18	1.17	1.13	0.236	0.232	0.181	ILK-2	55522
2	159	G15	0.79	sample	sample	3049840	2908940	2479580	2908940	2812786.66666667	1.18	1.21	1.1	0.236	0.27	0.142	CSK	1445
2	143	F23	0.79	sicon2	sicon2	3010310	2875490	2666350	2875490	2850716.66666667	1.16	1.19	1.19	0.218	0.253	0.246	NA	NA
3	110	E14	0.79	sample	sample	3645600	3160500	2487410	3160500	3097836.66666667	1.26	1.17	1.05	0.334	0.231	0.069	NA	NA
3	146	G02	0.79	sicon2	sicon2	3158150	3456250	2810890	3158150	3141763.33333333	1.09	1.28	1.19	0.127	0.36	0.246	NA	NA
2	194	I02	0.79	allstar	allstar	2833850	2841520	2664400	2833850	2779923.33333333	1.09	1.18	1.19	0.13	0.236	0.245	NA	NA
2	261	K21	0.77	sample	sample	2981920	2831810	2656560	2831810	2823430	1.15	1.17	1.18	0.204	0.231	0.241	PIK3R1	5295
1	320	N08	0.77	sample	sample	2614370	2624080	2378430	2614370	2538960	1.17	1.2	1.17	0.23	0.262	0.223	PDXK	8566
1	340	O04	0.77	sample	sample	2390200	2596720	2405340	2405340	2464086.66666667	1.07	1.19	1.18	0.1	0.247	0.239	TRIO	7204
1	275	L11	0.76	sample	sample	2444550	2554550	2529450	2529450	2509516.66666667	1.1	1.17	1.24	0.133	0.223	0.312	CDK8	1024
2	302	M14	0.76	sample	sample	3047870	2815190	2606160	2815190	2823073.33333333	1.18	1.17	1.16	0.235	0.222	0.213	PRKCQ	5588
2	262	K22	0.76	sample	sample	3009960	2855860	2648220	2855860	2838013.33333333	1.16	1.18	1.18	0.217	0.243	0.237	AK5	26289
1	174	H06	0.76	sample	sample	2600410	2550800	2449450	2550800	2533553.33333333	1.17	1.17	1.2	0.222	0.221	0.265	MARK1	4139
1	88	D16	0.76	sample	sample	2607860	2365870	2444570	2444570	2472766.66666667	1.17	1.08	1.2	0.226	0.112	0.262	IRAK2	3656
3	68	C20	0.76	sample	sample	3380550	2996380	2808800	2996380	3061910	1.17	1.11	1.18	0.226	0.154	0.244	NA	NA
1	33	B09	0.76	sample	sample	2563520	2549810	2592390	2563520	2568573.33333333	1.15	1.17	1.27	0.201	0.22	0.347	DGKG	1608
2	263	K23	0.75	allstar	allstar	2984740	2933790	2641490	2933790	2853340	1.15	1.22	1.18	0.205	0.282	0.233	NA	NA
1	100	E04	0.74	sample	sample	2597500	2514460	2642410	2597500	2584790	1.16	1.15	1.3	0.22	0.2	0.375	PAPSS2	9060
2	283	L19	0.73	sample	sample	3013180	2692670	2795370	2795370	2833740	1.16	1.12	1.24	0.219	0.158	0.315	STK4	6789
1	292	M04	0.73	sample	sample	2709140	2538000	2239350	2538000	2495496.66666667	1.22	1.16	1.1	0.281	0.214	0.136	PRKCL1	5585
2	16	A16	0.73	sample	sample	3012020	2915550	2497740	2915550	2808436.66666667	1.16	1.21	1.11	0.218	0.273	0.152	PGK2	5232
2	92	D20	0.73	sample	sample	3011980	2826090	2476870	2826090	2771646.66666667	1.16	1.17	1.1	0.218	0.228	0.14	PAK2	5062
1	247	K07	0.73	sample	sample	2592160	2574000	2320410	2574000	2495523.33333333	1.16	1.18	1.14	0.217	0.234	0.187	CSNK1G3	1456
1	191	H23	0.73	sicon2	sicon2	2591630	2505490	2521840	2521840	2539653.33333333	1.16	1.14	1.24	0.217	0.195	0.307	NA	NA
3	284	L20	0.73	sample	sample	3360380	3093250	2829980	3093250	3094536.66666667	1.16	1.15	1.19	0.217	0.2	0.255	NA	NA
1	155	G11	0.73	sample	sample	2553220	2551760	2384000	2551760	2496326.66666667	1.15	1.17	1.17	0.195	0.221	0.226	FN3K	64122
3	51	C03	0.73	sample	sample	3874990	3119320	2733020	3119320	3242443.33333333	1.34	1.16	1.15	0.422	0.212	0.205	PRKCA	5578
3	21	A21	0.72	sample	sample	3536650	2943980	2771890	2943980	3084173.33333333	1.22	1.09	1.17	0.291	0.128	0.225	ULK1	8408
3	89	D17	0.72	sample	sample	3282540	3116910	2771870	3116910	3057106.66666667	1.14	1.16	1.17	0.183	0.211	0.225	NA	NA
3	254	K14	0.72	sample	sample	3276140	3188530	2769810	3188530	3078160	1.13	1.18	1.17	0.18	0.243	0.224	NA	NA
2	266	L02	0.72	allstar	allstar	3004260	2713440	2782330	2782330	2833343.33333333	1.16	1.12	1.24	0.215	0.169	0.308	NA	NA
1	143	F23	0.72	sicon2	sicon2	2507380	2840060	2379140	2507380	2575526.66666667	1.12	1.3	1.17	0.169	0.376	0.223	NA	NA
2	238	J22	0.72	sample	sample	3021920	2789100	2592800	2789100	2801273.33333333	1.17	1.16	1.15	0.223	0.209	0.206	C14ORF20	283629
