marker	target	nA	nB	med.grpA	med.grpB	min.grpA	min.grpB	cles	wilcox.p	wilcox_fdr
RB1_5925_ENSG00000139687	AK7_ENSG00000140057	4	8	0.435	-0.095	0.12	-2.3	0.1875	0.963636363636364	1
RB1_5925_ENSG00000139687	AKT1_ENSG00000142208	4	8	-0.555	-0.07	-1.48	-4.07	0.53125	0.466666666666667	0.917064220183487
RB1_5925_ENSG00000139687	AKT2_ENSG00000105221	4	8	-0.01	-0.885	-0.96	-1.61	0.34375	0.816161616161616	1
RB1_5925_ENSG00000139687	AKT3_ENSG00000117020	4	8	-0.485	-1.07	-0.84	-1.77	0.28125	0.892929292929293	1
RB1_5925_ENSG00000139687	ALK_ENSG00000171094	4	8	-0.33	0.155	-1.72	-0.9	0.875	0.0242424242424242	0.580347689839472
RB1_5925_ENSG00000139687	STRADB_ENSG00000082146	4	8	-0.78	-0.55	-1.07	-1.97	0.609375	0.304879399612213	0.850327700480938
RB1_5925_ENSG00000139687	CDK15_ENSG00000138395	4	8	0.915	0.245	-0.36	-0.41	0.3125	0.858585858585859	1
RB1_5925_ENSG00000139687	AMHR2_ENSG00000135409	4	8	-0.515	-0.155	-0.98	-1.24	0.6875	0.183838383838384	0.763143058491896
RB1_5925_ENSG00000139687	ANKK1_ENSG00000170209	4	8	0.615	0.17	-0.36	-0.81	0.28125	0.892929292929293	1
RB1_5925_ENSG00000139687	RIPK4_ENSG00000183421	4	8	0.545	0.155	-0.27	-1.17	0.34375	0.82530314425508	1
RB1_5925_ENSG00000139687	ARAF_ENSG00000078061	4	8	0.765	0.635	0.11	0.19	0.46875	0.595959595959596	0.988279840108938
RB1_5925_ENSG00000139687	NUAK1_ENSG00000074590	4	8	0.49	0.295	-0.12	-1.55	0.40625	0.715151515151515	1
RB1_5925_ENSG00000139687	DBF4_ENSG00000006634	4	8	0.56	0.425	-0.01	-0.67	0.4375	0.658585858585859	0.998365823843532
RB1_5925_ENSG00000139687	ATM_ENSG00000149311	4	8	-0.275	-0.585	-1.38	-1.86	0.40625	0.715151515151515	1
RB1_5925_ENSG00000139687	ATR_ENSG00000175054	4	8	-0.655	-0.5	-1.65	-2.69	0.53125	0.466666666666667	0.917064220183487
RB1_5925_ENSG00000139687	AURKA_ENSG00000087586	4	8	-3.79	-2.645	-5.39	-7.62	0.625	0.284848484848485	0.811363636363637
RB1_5925_ENSG00000139687	AURKB_ENSG00000178999	4	8	-0.525	-0.89	-1.5	-1.64	0.40625	0.715151515151515	1
RB1_5925_ENSG00000139687	AURKC_ENSG00000105146	4	8	-1.525	-0.87	-2.42	-3.31	0.65625	0.23030303030303	0.785524030110016
RB1_5925_ENSG00000139687	AXL_ENSG00000167601	4	8	0.44	0.8	0.1	-1.08	0.53125	0.46610301688794	0.917064220183487
RB1_5925_ENSG00000139687	MAGI1_ENSG00000151276	4	8	0.735	-0.265	0.2	-0.55	0.125	0.985858585858586	1
RB1_5925_ENSG00000139687	BCKDK_ENSG00000103507	4	8	0.14	-1.785	-0.73	-3.21	0.1875	0.963636363636364	1
RB1_5925_ENSG00000139687	BCR_ENSG00000186716	4	8	-1.35	-1.535	-2.08	-5.05	0.4375	0.658585858585859	0.998365823843532
RB1_5925_ENSG00000139687	BLK_ENSG00000136573	4	8	0.575	0.715	-0.02	0	0.609375	0.304879399612213	0.850327700480938
RB1_5925_ENSG00000139687	BMP2K_ENSG00000138756	4	8	-0.13	0.31	-0.79	-0.25	0.78125	0.0740628385505215	0.724389267120545
RB1_5925_ENSG00000139687	BMPR1A_ENSG00000107779	4	8	0.15	-0.31	-0.58	-1.38	0.4375	0.658585858585859	0.998365823843532
RB1_5925_ENSG00000139687	BMPR1B_ENSG00000138696	4	8	0.39	0.53	-0.41	-0.7	0.703125	0.15366617420925	0.763143058491896
RB1_5925_ENSG00000139687	BMPR2_ENSG00000204217	4	8	-0.33	0.19	-1.08	-0.35	0.8125	0.0545454545454545	0.695454545454545
RB1_5925_ENSG00000139687	BMX_ENSG00000102010	4	8	1.125	0.875	0.68	0.25	0.28125	0.899030099153014	1
RB1_5925_ENSG00000139687	BRAF_ENSG00000157764	4	8	-1.13	-1.68	-3.74	-3.34	0.375	0.76969696969697	1
RB1_5925_ENSG00000139687	BRD2_ENSG00000236227	4	8	0.695	0.525	-0.08	-0.37	0.40625	0.724241145989106	1
RB1_5925_ENSG00000139687	BRD3_ENSG00000169925	4	8	0.345	0.495	-0.68	-1.01	0.515625	0.5	0.95015912763432
RB1_5925_ENSG00000139687	BRD4_ENSG00000141867	4	8	-1.11	-1.95	-2.25	-6.08	0.3125	0.858585858585859	1
RB1_5925_ENSG00000139687	BRDT_ENSG00000137948	4	8	0.41	0.585	-0.19	-0.19	0.671875	0.197469036968352	0.785524030110016
RB1_5925_ENSG00000139687	BTK_ENSG00000010671	4	8	-1.12	-1.525	-1.57	-3.63	0.3125	0.858585858585859	1
RB1_5925_ENSG00000139687	BUB1_ENSG00000169679	4	8	0.47	-0.22	-0.3	-1.31	0.25	0.923232323232323	1
RB1_5925_ENSG00000139687	BUB1B_ENSG00000156970	4	8	0.455	-0.865	-0.07	-1.83	0.15625	0.975757575757576	1
RB1_5925_ENSG00000139687	PSTK_ENSG00000179988	4	8	0.29	-0.17	-0.42	-1.55	0.3125	0.858585858585859	1
RB1_5925_ENSG00000139687	TSSK4_ENSG00000139908	4	8	0.025	0.245	-0.95	-0.93	0.65625	0.23030303030303	0.785524030110016
RB1_5925_ENSG00000139687	LMBR1_ENSG00000105983	4	8	-0.355	0.44	-0.47	-0.83	0.875	0.0242424242424242	0.580347689839472
RB1_5925_ENSG00000139687	IPPK_ENSG00000127080	4	8	0.745	0.115	-0.09	-3.79	0.3125	0.858585858585859	1
RB1_5925_ENSG00000139687	C9orf96_ENSG00000260489	4	8	-1.6	-1.16	-2.12	-3.04	0.5625	0.39928088150241	0.8996408996409
RB1_5925_ENSG00000139687	CALM1_ENSG00000198668	4	8	0.375	-0.28	-0.4	-1.06	0.25	0.925937161449478	1
RB1_5925_ENSG00000139687	CALM2_ENSG00000143933	4	8	-1.11	-1.515	-2.97	-2.95	0.5	0.533333333333333	0.95015912763432
RB1_5925_ENSG00000139687	CALM3_ENSG00000160014	4	8	-0.725	-0.745	-1.89	-1.13	0.59375	0.341414141414141	0.852341597796142
RB1_5925_ENSG00000139687	CAMK1_ENSG00000134072	4	8	-0.715	-0.435	-1.2	-1.84	0.546875	0.432450308568006	0.917064220183487
RB1_5925_ENSG00000139687	CAMK1D_ENSG00000183049	4	8	0.225	0.625	-0.27	-0.37	0.625	0.275758854010894	0.811363636363637
RB1_5925_ENSG00000139687	CAMK1G_ENSG00000008118	4	8	0.375	0.41	0.09	-0.23	0.53125	0.466666666666667	0.917064220183487
RB1_5925_ENSG00000139687	CAMK2A_ENSG00000070808	4	8	0.23	0.5	-0.52	-0.31	0.65625	0.23030303030303	0.785524030110016
RB1_5925_ENSG00000139687	CAMK2B_ENSG00000058404	4	8	0.095	-0.54	-0.6	-1.24	0.34375	0.816161616161616	1
RB1_5925_ENSG00000139687	CAMK2D_ENSG00000145349	4	8	0.53	0.795	0.31	0.14	0.46875	0.595959595959596	0.988279840108938
RB1_5925_ENSG00000139687	CAMK2G_ENSG00000148660	4	8	0.62	0.565	-0.32	-0.13	0.53125	0.46610301688794	0.917064220183487
RB1_5925_ENSG00000139687	CAMK2N1_ENSG00000162545	4	8	-0.49	-1.805	-0.54	-3.46	0.203125	0.955565356763677	1
RB1_5925_ENSG00000139687	CAMK4_ENSG00000152495	4	8	0.72	0.14	0.18	-0.29	0.1875	0.963636363636364	1
RB1_5925_ENSG00000139687	CAMKK1_ENSG00000004660	4	8	1.155	0.8675	0.335	0.225	0.40625	0.715151515151515	1
RB1_5925_ENSG00000139687	CAMKK2_ENSG00000110931	4	8	0.91	0.73	0.7	0.4	0.34375	0.816161616161616	1
RB1_5925_ENSG00000139687	SHPK_ENSG00000262304	4	8	-0.36	-0.335	-1.09	-2.3	0.46875	0.595959595959596	0.988279840108938
RB1_5925_ENSG00000139687	CASK_ENSG00000147044	4	8	0.34	-0.45	-0.14	-1.71	0.203125	0.955845444755739	1
RB1_5925_ENSG00000139687	CDK20_ENSG00000156345	4	8	-0.755	-0.705	-2.16	-1.84	0.53125	0.466666666666667	0.917064220183487
RB1_5925_ENSG00000139687	CDADC1_ENSG00000102543	4	8	-0.925	-0.385	-1.23	-1.93	0.5625	0.404040404040404	0.8996408996409
RB1_5925_ENSG00000139687	CDK1_ENSG00000170312	4	8	0.05	-1.145	-1.31	-1.68	0.21875	0.946987750360468	1
RB1_5925_ENSG00000139687	CDK11B_ENSG00000248333	4	8	-0.66	-1.625	-1.27	-3.08	0.0625	0.993187849239561	1
RB1_5925_ENSG00000139687	CDK11A_ENSG00000008128	4	8	-2.475	-3.86	-4.16	-6.64	0.21875	0.945454545454545	1
RB1_5925_ENSG00000139687	CDK13_ENSG00000065883	4	8	0.755	0.47	0.02	-0.11	0.390625	0.751924093389513	1
RB1_5925_ENSG00000139687	CDC42BPA_ENSG00000143776	4	8	-1.455	-1.785	-1.88	-3.05	0.375	0.76969696969697	1
RB1_5925_ENSG00000139687	CDC42BPB_ENSG00000198752	4	8	0.005	0.125	-1.87	-0.92	0.625	0.284848484848485	0.811363636363637
RB1_5925_ENSG00000139687	CDC7_ENSG00000097046	4	8	0.315	0.535	-0.49	-0.25	0.6875	0.183838383838384	0.763143058491896
RB1_5925_ENSG00000139687	CDK10_ENSG00000185324	4	8	-1.305	-0.275	-1.33	-1.93	0.78125	0.0767676767676768	0.724389267120545
RB1_5925_ENSG00000139687	CDK19_ENSG00000155111	4	8	-0.345	-0.275	-2.17	-2.11	0.53125	0.466666666666667	0.917064220183487
RB1_5925_ENSG00000139687	CDK2_ENSG00000123374	4	8	0.225	0.66	-0.14	-1.4	0.6875	0.174273343622296	0.763143058491896
RB1_5925_ENSG00000139687	CDK3_ENSG00000250506	4	8	0.18	-0.065	-0.35	-0.46	0.34375	0.816161616161616	1
RB1_5925_ENSG00000139687	CDK4_ENSG00000135446	4	8	-0.835	-0.37	-2.01	-1.54	0.640625	0.248075906610487	0.811363636363637
RB1_5925_ENSG00000139687	CDK5_ENSG00000164885	4	8	-0.865	-0.175	-1.39	-1.97	0.625	0.284848484848485	0.811363636363637
RB1_5925_ENSG00000139687	CDK5R1_ENSG00000176749	4	8	-0.255	-0.475	-1.54	-3.88	0.375	0.76969696969697	1
RB1_5925_ENSG00000139687	CDK5R2_ENSG00000171450	4	8	0.555	-0.645	-2.2	-2.26	0.28125	0.892929292929293	1
RB1_5925_ENSG00000139687	CDK6_ENSG00000105810	4	8	0.155	0.3	-0.53	-0.24	0.625	0.284848484848485	0.811363636363637
RB1_5925_ENSG00000139687	CDK7_ENSG00000134058	4	8	0.84	0.735	0.68	-0.34	0.40625	0.724591023031926	1
RB1_5925_ENSG00000139687	CDK8_ENSG00000132964	4	8	1.155	0.755	0.42	-0.38	0.21875	0.945454545454545	1
RB1_5925_ENSG00000139687	CDK9_ENSG00000136807	4	8	0.99	0.845	0.94	-0.53	0.375	0.778451342884149	1
RB1_5925_ENSG00000139687	CDKL1_ENSG00000100490	4	8	-0.27	-0.785	-1.84	-4.34	0.3125	0.858585858585859	1
RB1_5925_ENSG00000139687	CDKL2_ENSG00000138769	4	8	-1.045	-1.475	-1.56	-2.87	0.15625	0.975757575757576	1
RB1_5925_ENSG00000139687	CDKL3_ENSG00000006837	4	8	0.88	0.75	-0.32	0	0.5625	0.404040404040404	0.8996408996409
RB1_5925_ENSG00000139687	CDKL4_ENSG00000205111	4	8	-2.06	-0.155	-2.21	-1.24	1	0.00202020202020202	0.288484848484849
RB1_5925_ENSG00000139687	CDKL5_ENSG00000008086	4	8	0.75	0.605	-0.58	-0.82	0.359375	0.802530963031648	1
RB1_5925_ENSG00000139687	CDKN1A_ENSG00000124762	4	8	1.11	0.83	0.9	-0.34	0.34375	0.816161616161616	1
RB1_5925_ENSG00000139687	CDKN1B_ENSG00000111276	4	8	-0.58	-0.1	-0.91	-0.92	0.65625	0.23030303030303	0.785524030110016
RB1_5925_ENSG00000139687	CDKN1C_ENSG00000129757	4	8	0.685	-0.695	0.57	-1.96	0	1	1
RB1_5925_ENSG00000139687	CDKN2B_ENSG00000147883	4	8	1.295	0.49	0.48	-0.06	0.125	0.985858585858586	1
RB1_5925_ENSG00000139687	CDKN2C_ENSG00000123080	4	8	-0.905	-0.345	-1.38	-1.53	0.546875	0.432450308568006	0.917064220183487
RB1_5925_ENSG00000139687	CDKN2D_ENSG00000129355	4	8	-0.995	-1.385	-1.59	-3.73	0.328125	0.84633382579075	1
RB1_5925_ENSG00000139687	CERK_ENSG00000100422	4	8	0.015	0.005	-0.46	-0.99	0.5625	0.404040404040404	0.8996408996409
RB1_5925_ENSG00000139687	CHEK1_ENSG00000149554	4	8	-3.41	-2.895	-4.58	-9.89	0.59375	0.341414141414141	0.852341597796142
RB1_5925_ENSG00000139687	CHEK2_ENSG00000183765	4	8	0.75	0.54	0.35	0.13	0.375	0.76969696969697	1
RB1_5925_ENSG00000139687	CHKA_ENSG00000110721	4	8	-0.945	-0.66	-1.28	-4.14	0.625	0.275758854010894	0.811363636363637
RB1_5925_ENSG00000139687	CHKB_ENSG00000100288	4	8	1.74	1.015	1.39	0.77	0.03125	0.997979797979798	1
RB1_5925_ENSG00000139687	CHUK_ENSG00000213341	4	8	-0.455	-0.255	-0.94	-0.56	0.75	0.100969900846986	0.728080808080808
RB1_5925_ENSG00000139687	CIB2_ENSG00000136425	4	8	-0.76	-1.32	-1.08	-4.26	0.09375	0.991919191919192	1
RB1_5925_ENSG00000139687	CIT_ENSG00000122966	4	8	-0.2	-1.16	-1.02	-4.37	0.25	0.923232323232323	1
RB1_5925_ENSG00000139687	CKB_ENSG00000166165	4	8	1.03	0.77	0.97	0.28	0.3125	0.858585858585859	1
RB1_5925_ENSG00000139687	CKM_ENSG00000104879	4	8	0.28	0.29	-1.21	-1.19	0.53125	0.466666666666667	0.917064220183487
RB1_5925_ENSG00000139687	CKMT1B_ENSG00000237289	4	8	0.83	-0.73	-1.02	-1.75	0.1875	0.963636363636364	1
RB1_5925_ENSG00000139687	CKMT2_ENSG00000131730	4	8	-0.03	-0.065	-1.8	-1.61	0.625	0.284848484848485	0.811363636363637
RB1_5925_ENSG00000139687	CKS1B_ENSG00000173207	4	8	-0.3	0.125	-1.7	-0.77	0.71875	0.141414141414141	0.738802660753878
RB1_5925_ENSG00000139687	CKS2_ENSG00000123975	4	8	1.105	1.145	0.46	0.8	0.5625	0.404040404040404	0.8996408996409
RB1_5925_ENSG00000139687	CLK1_ENSG00000013441	4	8	0.645	0.6	-0.23	-0.03	0.5	0.534076372395762	0.95015912763432
RB1_5925_ENSG00000139687	CLK2_ENSG00000261893	4	8	0.985	0.6	0.67	-0.13	0.21875	0.945454545454545	1
RB1_5925_ENSG00000139687	CLK3_ENSG00000179335	4	8	-1.045	-1.06	-2.26	-2.1	0.53125	0.466666666666667	0.917064220183487
RB1_5925_ENSG00000139687	CLK4_ENSG00000113240	4	8	-0.655	-0.675	-3.09	-2.19	0.5	0.533333333333333	0.95015912763432
RB1_5925_ENSG00000139687	COASY_ENSG00000068120	4	8	-0.98	-1.86	-1.49	-3.05	0.21875	0.945454545454545	1
RB1_5925_ENSG00000139687	COL4A3BP_ENSG00000113163	4	8	0.12	0.71	-0.03	-0.82	0.6875	0.183838383838384	0.763143058491896
RB1_5925_ENSG00000139687	COMMD3_ENSG00000148444	4	8	-1.525	-0.56	-2.12	-1.3	0.75	0.107070707070707	0.728080808080808
RB1_5925_ENSG00000139687	CPNE3_ENSG00000085719	4	8	-0.075	0.225	-0.64	-1.14	0.75	0.107070707070707	0.728080808080808
RB1_5925_ENSG00000139687	CRIM1_ENSG00000261899	4	8	-0.145	0.445	-0.88	-0.72	0.71875	0.141414141414141	0.738802660753878
RB1_5925_ENSG00000139687	CDK12_ENSG00000167258_CRK7	4	8	0.11	0.42	-0.1	-0.86	0.59375	0.341414141414141	0.852341597796142
RB1_5925_ENSG00000139687	CRKL_ENSG00000099942	4	8	0.13	0.165	-1.75	-1.32	0.5625	0.39928088150241	0.8996408996409
RB1_5925_ENSG00000139687	CSF1R_ENSG00000182578	4	8	-0.415	-0.96	-1.12	-1.39	0.34375	0.816161616161616	1
RB1_5925_ENSG00000139687	CSK_ENSG00000103653	4	8	1.24	0.52	0.5	0.13	0.125	0.983279186119172	1
RB1_5925_ENSG00000139687	CTB.89H12.4_ENSG00000230551	4	8	-0.49	-0.16	-1.53	-1.35	0.59375	0.341414141414141	0.852341597796142
RB1_5925_ENSG00000139687	CSNK1A1L_ENSG00000180138	4	8	0.38	0.81	-0.51	-0.25	0.5625	0.39928088150241	0.8996408996409
RB1_5925_ENSG00000139687	CSNK1D_ENSG00000141551	4	8	-0.28	-0.295	-1.93	-0.86	0.453125	0.633176605588618	0.998365823843532
RB1_5925_ENSG00000139687	CSNK1E_ENSG00000213923	4	8	-0.65	-1.415	-1.6	-2.7	0.28125	0.892929292929293	1
RB1_5925_ENSG00000139687	CSNK1G1_ENSG00000169118	4	8	-0.74	-1.34	-1.42	-3.91	0.328125	0.84633382579075	1
RB1_5925_ENSG00000139687	CSNK1G2_ENSG00000133275	4	8	1.005	0.725	0.2	0.4	0.3125	0.858585858585859	1
RB1_5925_ENSG00000139687	CSNK1G3_ENSG00000151292	4	8	0.45	0.745	-0.36	-0.36	0.703125	0.15366617420925	0.763143058491896
RB1_5925_ENSG00000139687	CSNK2A1_ENSG00000101266	4	8	1.35	0.91	0.7	0.76	0.40625	0.715151515151515	1
RB1_5925_ENSG00000139687	CSNK2A2_ENSG00000070770	4	8	-2.665	-2.8	-2.88	-7.64	0.4375	0.658585858585859	0.998365823843532
RB1_5925_ENSG00000139687	CSNK2B_ENSG00000224774	4	8	-1.975	-1.845	-2.69	-3.95	0.46875	0.595959595959596	0.988279840108938
RB1_5925_ENSG00000139687	DAPK1_ENSG00000196730	4	8	-0.765	-0.74	-1.12	-1.69	0.46875	0.60071911849759	0.988279840108938
RB1_5925_ENSG00000139687	DAPK2_ENSG00000035664	4	8	0.385	-0.135	-0.3	-2.65	0.3125	0.858585858585859	1
RB1_5925_ENSG00000139687	DAPK3_ENSG00000167657	4	8	-0.775	-0.335	-1.62	-2.53	0.5625	0.404040404040404	0.8996408996409
RB1_5925_ENSG00000139687	DCLK1_ENSG00000133083	4	8	-0.205	-0.395	-0.46	-0.91	0.4375	0.658585858585859	0.998365823843532
RB1_5925_ENSG00000139687	DCK_ENSG00000156136	4	8	-0.64	-1.125	-0.88	-3.77	0.1875	0.963636363636364	1
RB1_5925_ENSG00000139687	DDR1_ENSG00000230456	4	8	-0.775	-0.025	-1.02	-2.67	0.65625	0.23030303030303	0.785524030110016
RB1_5925_ENSG00000139687	DDR2_ENSG00000162733	4	8	0.21	0.51	-0.35	0.18	0.625	0.284848484848485	0.811363636363637
RB1_5925_ENSG00000139687	DGKA_ENSG00000065357	4	8	-0.055	-0.325	-0.62	-0.95	0.4375	0.658585858585859	0.998365823843532
RB1_5925_ENSG00000139687	DGKB_ENSG00000136267	4	8	-0.91	-0.275	-2.63	-1.61	0.6875	0.183838383838384	0.763143058491896
RB1_5925_ENSG00000139687	DGKD_ENSG00000077044	4	8	0.91	0.68	0.07	-0.3	0.296875	0.883168267521655	1
RB1_5925_ENSG00000139687	DGKG_ENSG00000058866	4	8	0.55	0.065	-0.27	-0.04	0.5	0.533333333333333	0.95015912763432
RB1_5925_ENSG00000139687	DGKH_ENSG00000102780	4	8	-0.03	0.15	-0.65	-0.67	0.5625	0.39928088150241	0.8996408996409
RB1_5925_ENSG00000139687	DGKI_ENSG00000157680	4	8	-1.085	-0.045	-3.6	-1.38	0.78125	0.0767676767676768	0.724389267120545
RB1_5925_ENSG00000139687	DGKK_ENSG00000267972	4	8	0.385	0.54	-0.51	-0.36	0.53125	0.466666666666667	0.917064220183487
RB1_5925_ENSG00000139687	DGKQ_ENSG00000145214	4	8	-0.22	-1.165	-1.73	-2.72	0.3125	0.858585858585859	1
RB1_5925_ENSG00000139687	DGUOK_ENSG00000114956	4	8	0.68	0.11	0.2	-1.16	0.1875	0.963636363636364	1
RB1_5925_ENSG00000139687	ULK3_ENSG00000140474	4	8	-0.895	-0.275	-1.51	-1.97	0.78125	0.0767676767676768	0.724389267120545
RB1_5925_ENSG00000139687	SGK223_ENSG00000182319	4	8	-1.24	-1.085	-3.01	-2.41	0.5625	0.404040404040404	0.8996408996409
RB1_5925_ENSG00000139687	DLG1_ENSG00000075711	4	8	-0.855	0.15	-1.28	-1.2	0.84375	0.0363636363636364	0.649837540036897
RB1_5925_ENSG00000139687	DLG2_ENSG00000150672	4	8	1	1.025	0.03	0.36	0.5	0.533333333333333	0.95015912763432
RB1_5925_ENSG00000139687	DLG3_ENSG00000082458	4	8	0.32	0.7	0.05	-0.29	0.6875	0.174696855744921	0.763143058491896
RB1_5925_ENSG00000139687	DLG4_ENSG00000132535	4	8	0.11	0.39	-1.28	-1.55	0.78125	0.0740628385505215	0.724389267120545
RB1_5925_ENSG00000139687	DMPK_ENSG00000104936	4	8	-0.225	-1.17	-0.49	-1.7	0.0625	0.993187849239561	1
RB1_5925_ENSG00000139687	DTYMK_ENSG00000168393	4	8	0.655	0.705	-0.01	-1.04	0.4375	0.658585858585859	0.998365823843532
RB1_5925_ENSG00000139687	DUSP21_ENSG00000189037	4	8	0.025	0.605	-0.77	-1.35	0.6875	0.183838383838384	0.763143058491896
RB1_5925_ENSG00000139687	DSTYK_ENSG00000133059	4	8	0.57	0.77	0.41	0.06	0.625	0.284848484848485	0.811363636363637
RB1_5925_ENSG00000139687	DYRK1A_ENSG00000157540	4	8	-1.505	0.83	-2.13	-0.64	0.96875	0.00404040404040404	0.331628181543331
RB1_5925_ENSG00000139687	DYRK1B_ENSG00000105204	4	8	-0.085	0.115	-0.17	-1.22	0.40625	0.724241145989106	1
RB1_5925_ENSG00000139687	DYRK2_ENSG00000127334	4	8	-0.5	-0.48	-1.62	-1.05	0.65625	0.23030303030303	0.785524030110016
RB1_5925_ENSG00000139687	DYRK3_ENSG00000143479	4	8	-0.38	-0.04	-1.5	-2.39	0.53125	0.466666666666667	0.917064220183487
RB1_5925_ENSG00000139687	DYRK4_ENSG00000010219	4	8	0.085	-0.335	-0.4	-1.03	0.40625	0.715151515151515	1
RB1_5925_ENSG00000139687	EEF2K_ENSG00000103319	4	8	-0.00499999999999998	-0.725	-2.93	-2.31	0.375	0.76969696969697	1
RB1_5925_ENSG00000139687	EFNA3_ENSG00000143590	4	8	0.415	-0.53	0.01	-1.47	0.15625	0.975757575757576	1
RB1_5925_ENSG00000139687	EFNA4_ENSG00000243364	4	8	0.28	-0.66	-0.72	-1.9	0.21875	0.945454545454545	1
RB1_5925_ENSG00000139687	EFNA5_ENSG00000184349	4	8	0.765	0.74	0.26	-0.07	0.4375	0.658585858585859	0.998365823843532
RB1_5925_ENSG00000139687	EFNB3_ENSG00000108947	4	8	-0.455	-0.505	-1.31	-3.21	0.53125	0.466666666666667	0.917064220183487
RB1_5925_ENSG00000139687	EGFR_ENSG00000146648	4	8	-0.265	-0.625	-0.64	-1.7	0.375	0.77805076709927	1
RB1_5925_ENSG00000139687	EIF2AK3_ENSG00000172071	4	8	0.11	0.7	-0.44	0.41	0.96875	0.00681215076043875	0.422172949002217
RB1_5925_ENSG00000139687	EIF2AK4_ENSG00000128829	4	8	1.015	0.8	0.15	-0.16	0.265625	0.91326118194834	1
RB1_5925_ENSG00000139687	EPHA1_ENSG00000146904	4	8	-1.595	-0.785	-2.12	-2.81	0.53125	0.466666666666667	0.917064220183487
RB1_5925_ENSG00000139687	EPHA10_ENSG00000183317	4	8	-0.42	-1.055	-1.75	-4.73	0.34375	0.816161616161616	1
RB1_5925_ENSG00000139687	EPHA2_ENSG00000142627	4	8	0.42	0.89	-0.24	0.4	0.8125	0.0545454545454545	0.695454545454545
RB1_5925_ENSG00000139687	EPHA3_ENSG00000044524	4	8	-1.075	-1.41	-1.3	-2.59	0.375	0.76969696969697	1
RB1_5925_ENSG00000139687	EPHA4_ENSG00000116106	4	8	0.85	-0.13	-0.05	-1.05	0.21875	0.945454545454545	1
